iter	RMSE
0	7.01956309
1	6.885614728
2	6.750876645
3	6.627557163
4	6.500979746
5	6.37521471
6	6.272300739
7	6.168427313
8	6.068529898
9	5.969208042
10	5.888260434
11	5.819900216
12	5.751911021
13	5.687167775
14	5.633065026
15	5.566560238
16	5.508347922
17	5.447997202
18	5.398812166
19	5.351817483
20	5.306778262
21	5.269764763
22	5.232554328
23	5.192054247
24	5.162321206
25	5.126952677
26	5.088083043
27	5.05329492
28	5.025944151
29	4.99579734
30	4.965108656
31	4.941109724
32	4.916846824
33	4.892107419
34	4.87257399
35	4.849332812
36	4.824465651
37	4.800824446
38	4.787243078
39	4.770482418
40	4.75526528
41	4.738484131
42	4.719610326
43	4.707377618
44	4.696054592
45	4.683035154
46	4.672906424
47	4.661375436
48	4.652369809
49	4.639110177
50	4.62197214
51	4.612865824
52	4.602334342
53	4.593623742
54	4.585256222
55	4.577482308
56	4.570052924
57	4.561845643
58	4.555211703
59	4.544860372
60	4.537506676
61	4.529702049
62	4.524726455
63	4.518090502
64	4.509162129
65	4.504309193
66	4.498685042
67	4.492977596
68	4.486715532
69	4.479955036
70	4.476054209
71	4.467876655
72	4.463926229
73	4.458667202
74	4.453222905
75	4.44460124
76	4.438302153
77	4.433830059
78	4.427113754
79	4.421917881
80	4.418146008
81	4.415698525
82	4.412581404
83	4.408566002
84	4.404348158
85	4.401099474
86	4.395335384
87	4.391070826
88	4.384785931
89	4.378841434
90	4.374955452
91	4.3698975
92	4.363904162
93	4.358979419
94	4.35322937
95	4.349098321
96	4.346981459
97	4.344439623
98	4.341953658
99	4.339353465
100	4.336576
101	4.330861658
102	4.328784283
103	4.325998353
104	4.322680271
105	4.318335835
106	4.317810222
107	4.315881519
108	4.313190921
109	4.310562847
110	4.307915363
111	4.305707431
112	4.302993741
113	4.297713618
114	4.293891849
115	4.289523941
116	4.285180496
117	4.280632321
118	4.278570815
119	4.27431546
120	4.269480158
121	4.266606504
122	4.263987354
123	4.26160267
124	4.257298249
125	4.25312154
126	4.250379688
127	4.248552145
128	4.246124327
129	4.242683284
130	4.240154181
131	4.238797099
132	4.235783527
133	4.233237151
134	4.230651303
135	4.229132412
136	4.224587394
137	4.221066368
138	4.217281841
139	4.214950535
140	4.211643635
141	4.208798123
142	4.206057643
143	4.203712746
144	4.19958875
145	4.196958291
146	4.193364784
147	4.190931857
148	4.190578823
149	4.189057158
150	4.184990527
151	4.181418769
152	4.180489633
153	4.176792901
154	4.174547015
155	4.172228883
156	4.167285393
157	4.166109948
158	4.163423261
159	4.160536162
160	4.158578649
161	4.158333851
162	4.156902156
163	4.151251544
164	4.151004567
165	4.149738175
166	4.146587017
167	4.146323368
168	4.142299878
169	4.141953711
170	4.14120792
171	4.140505844
172	4.139673089
173	4.139316425
174	4.138995293
175	4.137200917
176	4.136991816
177	4.13480812
178	4.130575763
179	4.127723667
180	4.127057048
181	4.126404905
182	4.124644454
183	4.122630045
184	4.122429331
185	4.121671634
186	4.119487176
187	4.119164625
188	4.118975492
189	4.118380584
190	4.115869047
191	4.112219846
192	4.11201402
193	4.111731459
194	4.108357069
195	4.10599118
196	4.105627347
197	4.10089166
198	4.09629725
199	4.095999041
200	4.091626106
201	4.091336279
202	4.087529808
203	4.086288612
204	4.086005063
205	4.082320559
206	4.078804052
207	4.078525911
208	4.078253131
209	4.077985592
210	4.077723175
211	4.074721065
212	4.074537613
213	4.071455869
214	4.068138856
215	4.067963766
216	4.066248871
217	4.065999579
218	4.063049338
219	4.06142158
220	4.05849761
221	4.058255483
222	4.056507467
223	4.053292908
224	4.051579916
225	4.05134205
226	4.04846057
227	4.046745533
228	4.046513969
229	4.046350358
230	4.04308371
231	4.040547401
232	4.036468952
233	4.033940747
234	4.032205672
235	4.030417144
236	4.03019742
237	4.025771887
238	4.024052643
239	4.022617694
240	4.022397267
241	4.022187274
242	4.0206978
243	4.020553766
244	4.017022036
245	4.016819416
246	4.012590679
247	4.009429414
248	4.008334389
249	4.006851489
250	4.003815272
251	4.00084473
252	3.998846422
253	3.997245697
254	3.995013811
255	3.993132087
256	3.9928398
257	3.989583545
258	3.989296854
259	3.988002126
260	3.985900784
261	3.985715102
262	3.982690437
263	3.979468526
264	3.977817919
265	3.976059919
266	3.975299347
267	3.97291555
268	3.970376921
269	3.967633206
270	3.966129599
271	3.964104042
272	3.962590784
273	3.962421181
274	3.960469522
275	3.958951
276	3.956200478
277	3.954678308
278	3.953544004
279	3.951652025
280	3.950038391
281	3.947520226
282	3.946206205
283	3.943639876
284	3.942347435
285	3.940283712
286	3.938779942
287	3.937768527
288	3.93642989
289	3.935069365
290	3.933110871
291	3.932841937
292	3.93198293
293	3.928894123
294	3.92715585
295	3.925911871
296	3.923282807
297	3.922327646
298	3.919784513
299	3.918614575
