iter	Passed	Remaining
0	150	44914
1	151	22509
2	151	15018
3	152	11271
4	152	9021
5	153	7521
6	154	6451
7	154	5647
8	155	5024
9	156	4527
10	156	4121
11	157	3781
12	158	3492
13	158	3243
14	159	3027
15	159	2839
16	160	2674
17	161	2529
18	162	2400
19	163	2283
20	164	2180
21	164	2083
22	165	1994
23	166	1910
24	166	1834
25	167	1764
26	168	1699
27	168	1639
28	169	1583
29	170	1531
30	170	1483
31	171	1439
32	172	1396
33	173	1354
34	173	1315
35	174	1278
36	175	1244
37	175	1211
38	176	1180
39	176	1149
40	177	1121
41	178	1094
42	179	1070
43	180	1047
44	181	1026
45	182	1009
46	183	990
47	184	970
48	185	950
49	186	931
50	187	914
51	188	896
52	188	880
53	189	863
54	190	848
55	191	832
56	191	817
57	192	803
58	193	790
59	194	777
60	195	765
61	196	754
62	197	742
63	198	730
64	198	719
65	199	707
66	200	696
67	201	686
68	201	675
69	202	665
70	203	655
71	204	646
72	204	637
73	205	627
74	206	618
75	206	609
76	207	601
77	208	592
78	208	583
79	209	575
80	209	567
81	210	560
82	211	553
83	212	545
84	213	538
85	213	531
86	214	524
87	214	517
88	215	511
89	216	504
90	216	497
91	217	491
92	217	485
93	218	479
94	219	473
95	219	467
96	220	461
97	221	456
98	221	450
99	222	445
100	223	439
101	224	434
102	224	430
103	225	425
104	226	420
105	227	416
106	229	413
107	230	409
108	231	405
109	232	401
110	233	398
111	235	394
112	236	391
113	237	388
114	238	384
115	240	381
116	241	378
117	244	376
118	246	374
119	248	372
120	249	368
121	250	365
122	251	362
123	254	360
124	255	357
125	257	355
126	258	352
127	259	349
128	260	345
129	263	345
130	264	341
131	266	338
132	267	335
133	268	332
134	269	329
135	270	325
136	271	322
137	272	319
138	273	316
139	274	313
140	275	310
141	276	307
142	276	304
143	277	301
144	278	298
145	279	294
146	281	292
147	282	290
148	283	287
149	284	284
150	285	281
151	286	278
152	287	275
153	288	273
154	290	271
155	291	269
156	292	266
157	293	263
158	294	261
159	295	258
160	296	255
161	296	252
162	298	250
163	299	248
164	300	245
165	300	242
166	301	240
167	302	237
168	303	234
169	303	232
170	304	229
171	305	227
172	306	224
173	307	222
174	307	219
175	308	217
176	309	215
177	310	212
178	311	210
179	312	208
180	312	205
181	313	203
182	314	201
183	315	199
184	316	196
185	317	194
186	318	192
187	320	190
188	322	189
189	323	187
190	328	187
191	329	185
192	331	183
193	333	182
194	334	180
195	335	178
196	336	176
197	338	174
198	343	174
199	345	172
200	346	170
201	348	169
202	350	167
203	351	165
204	352	163
205	353	161
206	354	159
207	356	157
208	356	155
209	359	153
210	360	151
211	361	149
212	361	147
213	362	145
214	363	143
215	364	141
216	365	139
217	367	138
218	368	136
219	369	134
220	370	132
221	371	130
222	372	128
223	373	126
224	374	124
225	374	122
226	376	120
227	377	119
228	378	117
229	379	115
230	380	113
231	381	111
232	382	109
233	383	108
234	385	106
235	386	104
236	387	103
237	388	101
238	389	99
239	390	97
240	391	95
241	393	94
242	394	92
243	396	90
244	397	89
245	398	87
246	399	85
247	400	83
248	401	82
249	402	80
250	403	78
251	404	77
252	405	75
253	406	73
254	407	71
255	408	70
256	410	68
257	411	67
258	412	65
259	413	63
260	414	61
261	415	60
262	416	58
263	417	56
264	418	55
265	419	53
266	420	51
267	421	50
268	421	48
269	422	46
270	423	45
271	424	43
272	424	41
273	425	40
274	427	38
275	427	37
276	428	35
277	429	33
278	430	32
279	431	30
280	431	29
281	432	27
282	433	26
283	434	24
284	435	22
285	436	21
286	437	19
287	438	18
288	438	16
289	439	15
290	440	13
291	440	12
292	441	10
293	442	9
294	443	7
295	444	6
296	445	4
297	446	2
298	446	1
299	447	0
